batch_id,dataset_type,material_category,material_form,sample_state,atmosphere,heating_rate_C_min,LOI_pct,LOI_uncertainty_pct,R650_pct,direct_numeric_use,evidence,source_title,year,journal,DOI,source_url,source_location,limitations,R800_pct
AUTO-20260924,literature,cotton,fabric,8,air,30.0,26.0,,6.96,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,10.3390/ma13235492,https://europepmc.org/articles/PMC7730485,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,
AUTO-20260924,literature,cotton,fabric,10,air,30.0,28.0,,14.63,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,10.3390/ma13235492,https://europepmc.org/articles/PMC7730485,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,
AUTO-20260924,literature,cotton,fabric,12,air,30.0,29.0,,13.82,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,10.3390/ma13235492,https://europepmc.org/articles/PMC7730485,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,
AUTO-20260924,literature,cotton,fabric,15,air,30.0,31.0,,13.8,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Environmentally-Benign Phytic Acid-Based Multilayer Coating for Flame Retardant Cotton,2020,Materials,10.3390/ma13235492,https://europepmc.org/articles/PMC7730485,LOI table: Table 1 Weight gain and limiting oxygen index data.; TG table: Table 4 Summary of thermogravimetric analysis of treated and untreated cotton.,Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,
AUTO-20260924,literature,polyester,fabric,rPET,air,10.0,26.0,0.0,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026,ACS Omega,10.1021/acsomega.6c00738,https://europepmc.org/articles/PMC13280842,"LOI table: 7 Limiting
Oxygen Index (LOI) Values
of Untreated and Treated PET Fabrics; TG table: 4 TGA and DTG Results of Untreated and
Treated rPET Fabrics",Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,0.95
AUTO-20260924,literature,polyester,fabric,L0,air,10.0,31.1,0.0,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026,ACS Omega,10.1021/acsomega.6c00738,https://europepmc.org/articles/PMC13280842,"LOI table: 7 Limiting
Oxygen Index (LOI) Values
of Untreated and Treated PET Fabrics; TG table: 4 TGA and DTG Results of Untreated and
Treated rPET Fabrics",Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,8.25
AUTO-20260924,literature,polyester,fabric,L1,air,10.0,37.5,0.1,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026,ACS Omega,10.1021/acsomega.6c00738,https://europepmc.org/articles/PMC13280842,"LOI table: 7 Limiting
Oxygen Index (LOI) Values
of Untreated and Treated PET Fabrics; TG table: 4 TGA and DTG Results of Untreated and
Treated rPET Fabrics",Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,6.23
AUTO-20260924,literature,polyester,fabric,L3,air,10.0,39.4,0.0,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026,ACS Omega,10.1021/acsomega.6c00738,https://europepmc.org/articles/PMC13280842,"LOI table: 7 Limiting
Oxygen Index (LOI) Values
of Untreated and Treated PET Fabrics; TG table: 4 TGA and DTG Results of Untreated and
Treated rPET Fabrics",Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,8.32
AUTO-20260924,literature,polyester,fabric,L5,air,10.0,47.0,0.0,,TG+LOI,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,Biobased Lignin as a Sustainable Flame Retardant Additive for Recycled Polyester Fabrics,2026,ACS Omega,10.1021/acsomega.6c00738,https://europepmc.org/articles/PMC13280842,"LOI table: 7 Limiting
Oxygen Index (LOI) Values
of Untreated and Treated PET Fabrics; TG table: 4 TGA and DTG Results of Untreated and
Treated rPET Fabrics",Automatically promoted only because exact table-level sample matching and complete TGA conditions satisfied conservative Grade-A rules.,10.15
